epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.0821857675909996;0.0821857675909996;0.06573031842708588;0.06573031842708588
1;0.04512414708733559;0.04512414708733559;0.04548431187868118;0.04548431187868118
2;0.04182953014969826;0.04182953014969826;0.04567999020218849;0.04567999020218849
3;0.03688257187604904;0.03688257187604904;0.0437280498445034;0.0437280498445034
4;0.036549873650074005;0.036549873650074005;0.05178671330213547;0.05178671330213547
5;0.03442761301994324;0.03442761301994324;0.0446539968252182;0.0446539968252182
6;0.031171901151537895;0.031171901151537895;0.03716941177845001;0.03716941177845001
7;0.02747993916273117;0.02747993916273117;0.040596697479486465;0.040596697479486465
8;0.024499446153640747;0.024499446153640747;0.043406471610069275;0.043406471610069275
9;0.023527519777417183;0.023527519777417183;0.02720772661268711;0.02720772661268711
10;0.01840389147400856;0.01840389147400856;0.02824593521654606;0.02824593521654606
11;0.01964682899415493;0.01964682899415493;0.02304672636091709;0.02304672636091709
12;0.017835170030593872;0.017835170030593872;0.03225000947713852;0.03225000947713852
13;0.01821243204176426;0.01821243204176426;0.02736567333340645;0.02736567333340645
14;0.016470178961753845;0.016470178961753845;0.021756025031208992;0.021756025031208992
15;0.018024133518338203;0.018024133518338203;0.021775268018245697;0.021775268018245697
16;0.017289308831095695;0.017289308831095695;0.02220301330089569;0.02220301330089569
17;0.015971805900335312;0.015971805900335312;0.021393058821558952;0.021393058821558952
18;0.014930596575140953;0.014930596575140953;0.023186475038528442;0.023186475038528442
19;0.015200111083686352;0.015200111083686352;0.02478545531630516;0.02478545531630516
20;0.016138922423124313;0.016138922423124313;0.021992620080709457;0.021992620080709457
21;0.015972623601555824;0.015972623601555824;0.020913325250148773;0.020913325250148773
22;0.01462490763515234;0.01462490763515234;0.02503071166574955;0.02503071166574955
23;0.015458064153790474;0.015458064153790474;0.02045253850519657;0.02045253850519657
24;0.01425469946116209;0.01425469946116209;0.020100440829992294;0.020100440829992294
25;0.015385965816676617;0.015385965816676617;0.020429838448762894;0.020429838448762894
26;0.014812980778515339;0.014812980778515339;0.021848099306225777;0.021848099306225777
27;0.013871496543288231;0.013871496543288231;0.021083924919366837;0.021083924919366837
